,Teplota vzduchu,Rychlost otáček,Kroutící moment,Opotřebení nástroje,Porucha,T,R,K,O
5377,302.9,2030,19.1,192,0,"(302.822, 303.239]","(2027.0, 2064.565]","(18.6, 20.4]","(185.587, 195.435]"
4730,303.3,1508,35.5,217,0,"(303.239, 303.657]","(1501.087, 1538.652]","(34.8, 36.6]","(215.13, 224.978]"
1620,297.9,1492,43.7,59,0,"(297.813, 298.23]","(1463.522, 1501.087]","(42.0, 43.8]","(57.565, 67.413]"
2146,299.3,1647,32.9,172,0,"(299.065, 299.483]","(1613.783, 1651.348]","(31.2, 33.0]","(165.891, 175.739]"
1801,298.0,1427,43.6,101,0,"(297.813, 298.23]","(1425.957, 1463.522]","(42.0, 43.8]","(96.957, 106.804]"
2095,299.4,1525,41.5,30,0,"(299.065, 299.483]","(1501.087, 1538.652]","(40.2, 42.0]","(28.022, 37.87]"
6074,301.0,1533,39.3,194,0,"(300.735, 301.152]","(1501.087, 1538.652]","(38.4, 40.2]","(185.587, 195.435]"
5245,303.6,1575,38.3,54,0,"(303.239, 303.657]","(1538.652, 1576.217]","(36.6, 38.4]","(47.717, 57.565]"
1357,298.6,1461,45.7,49,0,"(298.23, 298.648]","(1425.957, 1463.522]","(45.6, 47.4]","(47.717, 57.565]"
8063,300.3,1551,36.4,84,0,"(299.9, 300.317]","(1538.652, 1576.217]","(34.8, 36.6]","(77.261, 87.109]"
6050,300.9,1546,37.7,133,0,"(300.735, 301.152]","(1538.652, 1576.217]","(36.6, 38.4]","(126.5, 136.348]"
8368,298.9,1534,42.1,23,0,"(298.648, 299.065]","(1501.087, 1538.652]","(42.0, 43.8]","(18.174, 28.022]"
6017,300.8,1398,38.2,50,0,"(300.735, 301.152]","(1388.391, 1425.957]","(36.6, 38.4]","(47.717, 57.565]"
9931,298.3,1432,46.9,65,0,"(298.23, 298.648]","(1425.957, 1463.522]","(45.6, 47.4]","(57.565, 67.413]"
8769,297.4,1452,41.2,197,0,"(297.396, 297.813]","(1425.957, 1463.522]","(40.2, 42.0]","(195.435, 205.283]"
7503,300.3,1646,28.9,198,0,"(299.9, 300.317]","(1613.783, 1651.348]","(27.6, 29.4]","(195.435, 205.283]"
1609,297.7,1581,34.9,31,0,"(297.396, 297.813]","(1576.217, 1613.783]","(34.8, 36.6]","(28.022, 37.87]"
3096,299.9,1560,38.9,180,0,"(299.9, 300.317]","(1538.652, 1576.217]","(38.4, 40.2]","(175.739, 185.587]"
9771,298.7,1424,50.4,32,0,"(298.648, 299.065]","(1388.391, 1425.957]","(49.2, 51.0]","(28.022, 37.87]"
2415,299.1,1587,35.6,2,0,"(299.065, 299.483]","(1576.217, 1613.783]","(34.8, 36.6]","(-1.522, 8.326]"
2017,298.7,1483,42.5,46,0,"(298.648, 299.065]","(1463.522, 1501.087]","(42.0, 43.8]","(37.87, 47.717]"
6018,300.8,1557,31.6,52,0,"(300.735, 301.152]","(1538.652, 1576.217]","(31.2, 33.0]","(47.717, 57.565]"
4125,302.1,1439,40.0,7,0,"(301.987, 302.404]","(1425.957, 1463.522]","(38.4, 40.2]","(-1.522, 8.326]"
9802,298.4,1984,19.2,132,0,"(298.23, 298.648]","(1951.87, 1989.435]","(18.6, 20.4]","(126.5, 136.348]"
3246,301.0,1468,42.0,141,0,"(300.735, 301.152]","(1463.522, 1501.087]","(42.0, 43.8]","(136.348, 146.196]"
124,298.9,1727,29.4,116,0,"(298.648, 299.065]","(1726.478, 1764.043]","(29.4, 31.2]","(106.804, 116.652]"
6425,300.3,1393,56.1,12,0,"(299.9, 300.317]","(1388.391, 1425.957]","(54.6, 56.4]","(8.326, 18.174]"
5308,304.0,1481,42.6,213,0,"(303.657, 304.074]","(1463.522, 1501.087]","(42.0, 43.8]","(205.283, 215.13]"
7463,300.1,1518,46.9,87,0,"(299.9, 300.317]","(1501.087, 1538.652]","(45.6, 47.4]","(77.261, 87.109]"
9157,297.5,1462,52.3,148,0,"(297.396, 297.813]","(1425.957, 1463.522]","(51.0, 52.8]","(146.196, 156.043]"
3341,301.4,1329,52.0,160,0,"(301.152, 301.57]","(1313.261, 1350.826]","(51.0, 52.8]","(156.043, 165.891]"
598,297.7,1480,47.9,18,0,"(297.396, 297.813]","(1463.522, 1501.087]","(47.4, 49.2]","(8.326, 18.174]"
2123,299.3,1491,38.4,115,0,"(299.065, 299.483]","(1463.522, 1501.087]","(38.4, 40.2]","(106.804, 116.652]"
9498,299.2,1542,36.1,5,0,"(299.065, 299.483]","(1538.652, 1576.217]","(34.8, 36.6]","(-1.522, 8.326]"
7685,300.8,1397,43.5,227,0,"(300.735, 301.152]","(1388.391, 1425.957]","(42.0, 43.8]","(224.978, 234.826]"
7049,300.6,1494,47.3,118,0,"(300.317, 300.735]","(1463.522, 1501.087]","(45.6, 47.4]","(116.652, 126.5]"
9661,299.0,1458,44.9,221,0,"(298.648, 299.065]","(1425.957, 1463.522]","(43.8, 45.6]","(215.13, 224.978]"
2197,299.7,1412,49.2,85,0,"(299.483, 299.9]","(1388.391, 1425.957]","(49.2, 51.0]","(77.261, 87.109]"
4051,301.8,1383,46.4,37,0,"(301.57, 301.987]","(1350.826, 1388.391]","(45.6, 47.4]","(28.022, 37.87]"
6054,300.7,1518,40.1,142,0,"(300.317, 300.735]","(1501.087, 1538.652]","(38.4, 40.2]","(136.348, 146.196]"
3362,301.4,1445,43.9,210,0,"(301.152, 301.57]","(1425.957, 1463.522]","(43.8, 45.6]","(205.283, 215.13]"
6851,301.0,1394,41.3,16,0,"(300.735, 301.152]","(1388.391, 1425.957]","(40.2, 42.0]","(8.326, 18.174]"
725,297.4,1640,34.2,142,0,"(297.396, 297.813]","(1613.783, 1651.348]","(33.0, 34.8]","(136.348, 146.196]"
4934,303.4,1580,35.8,90,0,"(303.239, 303.657]","(1576.217, 1613.783]","(34.8, 36.6]","(87.109, 96.957]"
978,296.2,1526,42.3,129,0,"(296.143, 296.561]","(1501.087, 1538.652]","(42.0, 43.8]","(126.5, 136.348]"
808,296.9,1424,43.3,120,0,"(296.561, 296.978]","(1388.391, 1425.957]","(42.0, 43.8]","(116.652, 126.5]"
9603,298.9,1549,40.2,65,0,"(298.648, 299.065]","(1538.652, 1576.217]","(40.2, 42.0]","(57.565, 67.413]"
1475,298.4,1519,35.4,133,0,"(298.23, 298.648]","(1501.087, 1538.652]","(34.8, 36.6]","(126.5, 136.348]"
5935,300.5,1646,34.5,63,0,"(300.317, 300.735]","(1613.783, 1651.348]","(33.0, 34.8]","(57.565, 67.413]"
9036,297.3,1519,37.7,45,0,"(296.978, 297.396]","(1501.087, 1538.652]","(36.6, 38.4]","(37.87, 47.717]"
7335,299.9,1328,49.9,206,0,"(299.9, 300.317]","(1313.261, 1350.826]","(49.2, 51.0]","(205.283, 215.13]"
3962,302.4,1785,24.8,45,0,"(301.987, 302.404]","(1764.043, 1801.609]","(24.0, 25.8]","(37.87, 47.717]"
6422,300.3,1377,55.3,4,0,"(299.9, 300.317]","(1350.826, 1388.391]","(54.6, 56.4]","(-1.522, 8.326]"
4905,303.6,1363,53.1,7,0,"(303.239, 303.657]","(1350.826, 1388.391]","(52.8, 54.6]","(-1.522, 8.326]"
1235,297.1,1654,31.4,171,0,"(296.978, 297.396]","(1651.348, 1688.913]","(31.2, 33.0]","(165.891, 175.739]"
1225,297.1,1492,41.5,141,0,"(296.978, 297.396]","(1463.522, 1501.087]","(40.2, 42.0]","(136.348, 146.196]"
8049,300.6,1604,30.5,45,0,"(300.317, 300.735]","(1576.217, 1613.783]","(29.4, 31.2]","(37.87, 47.717]"
9278,298.2,1606,39.9,53,0,"(297.813, 298.23]","(1576.217, 1613.783]","(38.4, 40.2]","(47.717, 57.565]"
8671,297.5,1530,37.8,157,0,"(297.396, 297.813]","(1501.087, 1538.652]","(36.6, 38.4]","(156.043, 165.891]"
5229,303.9,1790,26.7,17,0,"(303.657, 304.074]","(1764.043, 1801.609]","(25.8, 27.6]","(8.326, 18.174]"
6950,300.7,1374,53.1,66,0,"(300.317, 300.735]","(1350.826, 1388.391]","(52.8, 54.6]","(57.565, 67.413]"
3217,300.6,2025,21.4,64,0,"(300.317, 300.735]","(1989.435, 2027.0]","(20.4, 22.2]","(57.565, 67.413]"
287,298.2,1805,31.6,96,0,"(297.813, 298.23]","(1801.609, 1839.174]","(31.2, 33.0]","(87.109, 96.957]"
5023,304.0,1575,34.5,92,0,"(303.657, 304.074]","(1538.652, 1576.217]","(33.0, 34.8]","(87.109, 96.957]"
2966,300.6,1601,40.2,69,0,"(300.317, 300.735]","(1576.217, 1613.783]","(40.2, 42.0]","(67.413, 77.261]"
3164,300.4,1685,31.3,152,0,"(300.317, 300.735]","(1651.348, 1688.913]","(31.2, 33.0]","(146.196, 156.043]"
6003,300.4,1529,36.2,10,0,"(300.317, 300.735]","(1501.087, 1538.652]","(34.8, 36.6]","(8.326, 18.174]"
8887,297.8,1530,37.6,106,0,"(297.396, 297.813]","(1501.087, 1538.652]","(36.6, 38.4]","(96.957, 106.804]"
1657,298.1,1374,48.8,156,0,"(297.813, 298.23]","(1350.826, 1388.391]","(47.4, 49.2]","(146.196, 156.043]"
1975,298.0,1422,45.6,140,0,"(297.813, 298.23]","(1388.391, 1425.957]","(43.8, 45.6]","(136.348, 146.196]"
2397,299.2,1582,38.8,156,0,"(299.065, 299.483]","(1576.217, 1613.783]","(38.4, 40.2]","(146.196, 156.043]"
452,297.4,1643,31.0,89,0,"(297.396, 297.813]","(1613.783, 1651.348]","(29.4, 31.2]","(87.109, 96.957]"
8030,300.6,1490,42.2,3,0,"(300.317, 300.735]","(1463.522, 1501.087]","(42.0, 43.8]","(-1.522, 8.326]"
4696,303.4,1449,41.7,132,0,"(303.239, 303.657]","(1425.957, 1463.522]","(40.2, 42.0]","(126.5, 136.348]"
3681,302.1,1453,45.1,174,0,"(301.987, 302.404]","(1425.957, 1463.522]","(43.8, 45.6]","(165.891, 175.739]"
422,297.3,1333,55.2,11,0,"(296.978, 297.396]","(1313.261, 1350.826]","(54.6, 56.4]","(8.326, 18.174]"
9725,298.7,1629,27.9,136,0,"(298.648, 299.065]","(1613.783, 1651.348]","(27.6, 29.4]","(126.5, 136.348]"
657,297.7,1365,58.6,170,0,"(297.396, 297.813]","(1350.826, 1388.391]","(58.2, 60.0]","(165.891, 175.739]"
3301,301.3,1365,47.7,70,0,"(301.152, 301.57]","(1350.826, 1388.391]","(47.4, 49.2]","(67.413, 77.261]"
6394,300.2,1408,44.0,144,0,"(299.9, 300.317]","(1388.391, 1425.957]","(43.8, 45.6]","(136.348, 146.196]"
2845,300.3,1398,54.4,198,0,"(299.9, 300.317]","(1388.391, 1425.957]","(52.8, 54.6]","(195.435, 205.283]"
8291,298.9,1717,26.9,17,0,"(298.648, 299.065]","(1688.913, 1726.478]","(25.8, 27.6]","(8.326, 18.174]"
7497,300.3,1483,45.1,181,0,"(299.9, 300.317]","(1463.522, 1501.087]","(43.8, 45.6]","(175.739, 185.587]"
1001,296.3,1662,32.9,190,0,"(296.143, 296.561]","(1651.348, 1688.913]","(31.2, 33.0]","(185.587, 195.435]"
4198,302.4,1432,44.5,195,0,"(301.987, 302.404]","(1425.957, 1463.522]","(43.8, 45.6]","(185.587, 195.435]"
2418,298.9,1660,34.4,9,0,"(298.648, 299.065]","(1651.348, 1688.913]","(33.0, 34.8]","(8.326, 18.174]"
7482,300.2,1510,47.5,146,0,"(299.9, 300.317]","(1501.087, 1538.652]","(47.4, 49.2]","(136.348, 146.196]"
5706,302.4,1290,70.0,139,1,"(301.987, 302.404]","(1275.696, 1313.261]","(69.0, 70.8]","(136.348, 146.196]"
3847,302.3,1450,45.7,175,0,"(301.987, 302.404]","(1425.957, 1463.522]","(45.6, 47.4]","(165.891, 175.739]"
961,295.8,1493,40.5,90,0,"(295.726, 296.143]","(1463.522, 1501.087]","(40.2, 42.0]","(87.109, 96.957]"
1580,298.3,1444,47.5,178,0,"(298.23, 298.648]","(1425.957, 1463.522]","(47.4, 49.2]","(175.739, 185.587]"
5007,303.8,1442,48.3,52,0,"(303.657, 304.074]","(1425.957, 1463.522]","(47.4, 49.2]","(47.717, 57.565]"
2206,299.9,1436,52.0,107,0,"(299.9, 300.317]","(1425.957, 1463.522]","(51.0, 52.8]","(106.804, 116.652]"
6312,300.9,1533,38.1,137,0,"(300.735, 301.152]","(1501.087, 1538.652]","(36.6, 38.4]","(136.348, 146.196]"
9562,299.7,1435,50.1,168,0,"(299.483, 299.9]","(1425.957, 1463.522]","(49.2, 51.0]","(165.891, 175.739]"
4231,302.2,1340,47.8,54,0,"(301.987, 302.404]","(1313.261, 1350.826]","(47.4, 49.2]","(47.717, 57.565]"
757,296.9,1555,33.7,229,0,"(296.561, 296.978]","(1538.652, 1576.217]","(33.0, 34.8]","(224.978, 234.826]"
2284,299.2,1378,53.4,100,0,"(299.065, 299.483]","(1350.826, 1388.391]","(52.8, 54.6]","(96.957, 106.804]"
6663,301.3,1504,47.2,193,0,"(301.152, 301.57]","(1501.087, 1538.652]","(45.6, 47.4]","(185.587, 195.435]"
4755,303.4,1295,51.3,51,1,"(303.239, 303.657]","(1275.696, 1313.261]","(51.0, 52.8]","(47.717, 57.565]"
8211,299.2,1675,33.3,28,0,"(299.065, 299.483]","(1651.348, 1688.913]","(33.0, 34.8]","(18.174, 28.022]"
807,297.0,1867,22.8,118,0,"(296.978, 297.396]","(1839.174, 1876.739]","(22.2, 24.0]","(116.652, 126.5]"
6575,301.4,1451,45.3,183,0,"(301.152, 301.57]","(1425.957, 1463.522]","(43.8, 45.6]","(175.739, 185.587]"
7719,300.6,1535,33.3,92,0,"(300.317, 300.735]","(1501.087, 1538.652]","(33.0, 34.8]","(87.109, 96.957]"
1956,297.9,1364,46.8,89,0,"(297.813, 298.23]","(1350.826, 1388.391]","(45.6, 47.4]","(87.109, 96.957]"
2445,299.2,1375,55.1,78,0,"(299.065, 299.483]","(1350.826, 1388.391]","(54.6, 56.4]","(77.261, 87.109]"
5875,301.5,1577,39.7,118,0,"(301.152, 301.57]","(1576.217, 1613.783]","(38.4, 40.2]","(116.652, 126.5]"
8163,299.7,1574,36.4,135,0,"(299.483, 299.9]","(1538.652, 1576.217]","(34.8, 36.6]","(126.5, 136.348]"
6138,300.8,1452,43.0,139,0,"(300.735, 301.152]","(1425.957, 1463.522]","(42.0, 43.8]","(136.348, 146.196]"
2402,299.2,1325,51.0,171,0,"(299.065, 299.483]","(1313.261, 1350.826]","(51.0, 52.8]","(165.891, 175.739]"
1073,297.0,1414,47.5,168,0,"(296.978, 297.396]","(1388.391, 1425.957]","(47.4, 49.2]","(165.891, 175.739]"
6557,301.5,1638,31.9,137,0,"(301.152, 301.57]","(1613.783, 1651.348]","(31.2, 33.0]","(136.348, 146.196]"
4240,302.4,1905,20.9,77,0,"(301.987, 302.404]","(1876.739, 1914.304]","(20.4, 22.2]","(67.413, 77.261]"
8509,298.4,1870,22.5,170,0,"(298.23, 298.648]","(1839.174, 1876.739]","(22.2, 24.0]","(165.891, 175.739]"
2091,299.4,1433,42.1,22,0,"(299.065, 299.483]","(1425.957, 1463.522]","(42.0, 43.8]","(18.174, 28.022]"
4527,302.4,1372,45.7,144,1,"(301.987, 302.404]","(1350.826, 1388.391]","(45.6, 47.4]","(136.348, 146.196]"
7202,300.0,1326,61.9,80,0,"(299.9, 300.317]","(1313.261, 1350.826]","(61.8, 63.6]","(77.261, 87.109]"
6795,301.4,1477,50.4,90,0,"(301.152, 301.57]","(1463.522, 1501.087]","(49.2, 51.0]","(87.109, 96.957]"
7237,299.8,1632,33.7,172,0,"(299.483, 299.9]","(1613.783, 1651.348]","(33.0, 34.8]","(165.891, 175.739]"
7422,300.0,1351,44.1,206,0,"(299.9, 300.317]","(1350.826, 1388.391]","(43.8, 45.6]","(205.283, 215.13]"
6849,301.1,1498,37.6,11,0,"(300.735, 301.152]","(1463.522, 1501.087]","(36.6, 38.4]","(8.326, 18.174]"
6836,301.1,1339,52.8,194,0,"(300.735, 301.152]","(1313.261, 1350.826]","(52.8, 54.6]","(185.587, 195.435]"
1003,296.2,1444,46.7,194,0,"(296.143, 296.561]","(1425.957, 1463.522]","(45.6, 47.4]","(185.587, 195.435]"
9099,297.3,1477,52.3,2,0,"(296.978, 297.396]","(1463.522, 1501.087]","(51.0, 52.8]","(-1.522, 8.326]"
6562,301.5,1871,21.3,152,0,"(301.152, 301.57]","(1839.174, 1876.739]","(20.4, 22.2]","(146.196, 156.043]"
5614,303.0,1624,28.8,117,0,"(302.822, 303.239]","(1613.783, 1651.348]","(27.6, 29.4]","(116.652, 126.5]"
4651,303.2,1349,51.1,9,1,"(302.822, 303.239]","(1313.261, 1350.826]","(51.0, 52.8]","(8.326, 18.174]"
5313,303.7,1566,32.6,9,0,"(303.657, 304.074]","(1538.652, 1576.217]","(31.2, 33.0]","(8.326, 18.174]"
1485,298.1,1976,19.3,158,0,"(297.813, 298.23]","(1951.87, 1989.435]","(18.6, 20.4]","(156.043, 165.891]"
7607,300.5,1468,41.1,34,0,"(300.317, 300.735]","(1463.522, 1501.087]","(40.2, 42.0]","(28.022, 37.87]"
1411,298.9,1944,23.4,192,0,"(298.648, 299.065]","(1914.304, 1951.87]","(22.2, 24.0]","(185.587, 195.435]"
9303,298.2,1491,38.3,121,0,"(297.813, 298.23]","(1463.522, 1501.087]","(36.6, 38.4]","(116.652, 126.5]"
709,297.6,1357,49.7,104,0,"(297.396, 297.813]","(1350.826, 1388.391]","(49.2, 51.0]","(96.957, 106.804]"
9806,298.3,1417,60.5,143,0,"(298.23, 298.648]","(1388.391, 1425.957]","(60.0, 61.8]","(136.348, 146.196]"
8042,300.8,1486,45.1,30,0,"(300.735, 301.152]","(1463.522, 1501.087]","(43.8, 45.6]","(28.022, 37.87]"
7211,299.8,1431,40.3,101,0,"(299.483, 299.9]","(1425.957, 1463.522]","(40.2, 42.0]","(96.957, 106.804]"
3076,300.0,1444,43.6,123,0,"(299.9, 300.317]","(1425.957, 1463.522]","(42.0, 43.8]","(116.652, 126.5]"
8314,298.8,1739,30.6,83,0,"(298.648, 299.065]","(1726.478, 1764.043]","(29.4, 31.2]","(77.261, 87.109]"
4101,301.9,1884,23.4,163,0,"(301.57, 301.987]","(1876.739, 1914.304]","(22.2, 24.0]","(156.043, 165.891]"
5114,304.2,1481,44.9,136,0,"(304.074, 304.491]","(1463.522, 1501.087]","(43.8, 45.6]","(126.5, 136.348]"
2722,299.6,1558,34.8,115,0,"(299.483, 299.9]","(1538.652, 1576.217]","(33.0, 34.8]","(106.804, 116.652]"
9359,298.1,1581,47.4,51,0,"(297.813, 298.23]","(1576.217, 1613.783]","(47.4, 49.2]","(47.717, 57.565]"
1268,298.0,1496,45.8,46,0,"(297.813, 298.23]","(1463.522, 1501.087]","(45.6, 47.4]","(37.87, 47.717]"
2462,298.9,1742,34.5,117,0,"(298.648, 299.065]","(1726.478, 1764.043]","(33.0, 34.8]","(116.652, 126.5]"
5464,302.9,1659,33.1,152,0,"(302.822, 303.239]","(1651.348, 1688.913]","(33.0, 34.8]","(146.196, 156.043]"
268,297.9,1800,24.8,44,0,"(297.813, 298.23]","(1764.043, 1801.609]","(24.0, 25.8]","(37.87, 47.717]"
3580,301.8,1650,31.9,126,0,"(301.57, 301.987]","(1613.783, 1651.348]","(31.2, 33.0]","(116.652, 126.5]"
5349,303.3,1642,33.6,104,0,"(303.239, 303.657]","(1613.783, 1651.348]","(33.0, 34.8]","(96.957, 106.804]"
7290,300.3,1806,24.4,88,0,"(299.9, 300.317]","(1801.609, 1839.174]","(24.0, 25.8]","(87.109, 96.957]"
5157,304.1,1397,49.6,34,0,"(304.074, 304.491]","(1388.391, 1425.957]","(49.2, 51.0]","(28.022, 37.87]"
6601,301.5,1347,47.9,29,0,"(301.152, 301.57]","(1313.261, 1350.826]","(47.4, 49.2]","(28.022, 37.87]"
2821,300.3,1419,42.5,137,0,"(299.9, 300.317]","(1388.391, 1425.957]","(42.0, 43.8]","(136.348, 146.196]"
5807,301.4,1489,38.9,179,0,"(301.152, 301.57]","(1463.522, 1501.087]","(38.4, 40.2]","(175.739, 185.587]"
589,297.6,1491,40.2,231,0,"(297.396, 297.813]","(1463.522, 1501.087]","(40.2, 42.0]","(224.978, 234.826]"
5955,300.7,1653,31.6,111,0,"(300.317, 300.735]","(1651.348, 1688.913]","(31.2, 33.0]","(106.804, 116.652]"
5254,303.5,1897,23.6,75,0,"(303.239, 303.657]","(1876.739, 1914.304]","(22.2, 24.0]","(67.413, 77.261]"
6661,301.3,1501,39.8,187,0,"(301.152, 301.57]","(1463.522, 1501.087]","(38.4, 40.2]","(185.587, 195.435]"
7656,300.5,1541,47.8,156,0,"(300.317, 300.735]","(1538.652, 1576.217]","(47.4, 49.2]","(146.196, 156.043]"
8725,297.1,1515,42.1,81,0,"(296.978, 297.396]","(1501.087, 1538.652]","(42.0, 43.8]","(77.261, 87.109]"
6896,301.0,1454,40.0,140,0,"(300.735, 301.152]","(1425.957, 1463.522]","(38.4, 40.2]","(136.348, 146.196]"
7594,300.6,1531,38.5,0,0,"(300.317, 300.735]","(1501.087, 1538.652]","(38.4, 40.2]","(-1.522, 8.326]"
2028,298.7,1349,46.6,74,0,"(298.648, 299.065]","(1313.261, 1350.826]","(45.6, 47.4]","(67.413, 77.261]"
6818,301.0,1657,29.9,148,0,"(300.735, 301.152]","(1651.348, 1688.913]","(29.4, 31.2]","(146.196, 156.043]"
677,297.9,1478,39.7,10,0,"(297.813, 298.23]","(1463.522, 1501.087]","(38.4, 40.2]","(8.326, 18.174]"
5763,301.8,1451,39.4,70,0,"(301.57, 301.987]","(1425.957, 1463.522]","(38.4, 40.2]","(67.413, 77.261]"
1232,297.2,1500,37.1,161,0,"(296.978, 297.396]","(1463.522, 1501.087]","(36.6, 38.4]","(156.043, 165.891]"
5296,303.8,1379,50.2,178,0,"(303.657, 304.074]","(1350.826, 1388.391]","(49.2, 51.0]","(175.739, 185.587]"
7103,300.8,1777,30.1,38,0,"(300.735, 301.152]","(1764.043, 1801.609]","(29.4, 31.2]","(37.87, 47.717]"
5034,303.9,1514,41.1,121,0,"(303.657, 304.074]","(1501.087, 1538.652]","(40.2, 42.0]","(116.652, 126.5]"
5452,303.0,1553,35.8,122,0,"(302.822, 303.239]","(1538.652, 1576.217]","(34.8, 36.6]","(116.652, 126.5]"
2432,298.9,1510,43.5,46,0,"(298.648, 299.065]","(1501.087, 1538.652]","(42.0, 43.8]","(37.87, 47.717]"
6319,300.8,1514,40.0,155,0,"(300.735, 301.152]","(1501.087, 1538.652]","(38.4, 40.2]","(146.196, 156.043]"
6119,300.9,1471,39.3,91,0,"(300.735, 301.152]","(1463.522, 1501.087]","(38.4, 40.2]","(87.109, 96.957]"
9158,297.4,1487,46.2,150,0,"(297.396, 297.813]","(1463.522, 1501.087]","(45.6, 47.4]","(146.196, 156.043]"
9953,298.1,1565,35.3,119,0,"(297.813, 298.23]","(1538.652, 1576.217]","(34.8, 36.6]","(116.652, 126.5]"
896,295.5,1573,35.1,129,0,"(295.309, 295.726]","(1538.652, 1576.217]","(34.8, 36.6]","(126.5, 136.348]"
1611,297.8,1726,27.3,35,0,"(297.396, 297.813]","(1688.913, 1726.478]","(25.8, 27.6]","(28.022, 37.87]"
6474,300.5,1347,54.3,136,0,"(300.317, 300.735]","(1313.261, 1350.826]","(52.8, 54.6]","(126.5, 136.348]"
7661,300.5,1575,32.5,168,0,"(300.317, 300.735]","(1538.652, 1576.217]","(31.2, 33.0]","(165.891, 175.739]"
7460,300.0,1445,41.6,81,0,"(299.9, 300.317]","(1425.957, 1463.522]","(40.2, 42.0]","(77.261, 87.109]"
3806,302.3,1360,44.0,67,1,"(301.987, 302.404]","(1350.826, 1388.391]","(43.8, 45.6]","(57.565, 67.413]"
8273,299.0,1787,22.2,192,0,"(298.648, 299.065]","(1764.043, 1801.609]","(22.2, 24.0]","(185.587, 195.435]"
9451,298.0,1536,39.6,99,0,"(297.813, 298.23]","(1501.087, 1538.652]","(38.4, 40.2]","(96.957, 106.804]"
4701,303.5,1584,32.7,143,0,"(303.239, 303.657]","(1576.217, 1613.783]","(31.2, 33.0]","(136.348, 146.196]"
3961,302.2,1642,32.1,42,0,"(301.987, 302.404]","(1613.783, 1651.348]","(31.2, 33.0]","(37.87, 47.717]"
5417,302.6,1386,45.8,38,0,"(302.404, 302.822]","(1350.826, 1388.391]","(45.6, 47.4]","(37.87, 47.717]"
890,295.6,1370,52.4,115,0,"(295.309, 295.726]","(1350.826, 1388.391]","(51.0, 52.8]","(106.804, 116.652]"
4999,303.7,1532,41.3,32,0,"(303.657, 304.074]","(1501.087, 1538.652]","(40.2, 42.0]","(28.022, 37.87]"
7506,300.5,1511,41.8,205,0,"(300.317, 300.735]","(1501.087, 1538.652]","(40.2, 42.0]","(195.435, 205.283]"
7881,300.8,1493,39.1,79,0,"(300.735, 301.152]","(1463.522, 1501.087]","(38.4, 40.2]","(77.261, 87.109]"
5095,304.1,1428,39.9,88,0,"(304.074, 304.491]","(1425.957, 1463.522]","(38.4, 40.2]","(87.109, 96.957]"
6932,300.8,1322,67.2,18,1,"(300.735, 301.152]","(1313.261, 1350.826]","(65.4, 67.2]","(8.326, 18.174]"
9617,299.0,1516,35.3,102,0,"(298.648, 299.065]","(1501.087, 1538.652]","(34.8, 36.6]","(96.957, 106.804]"
2799,300.3,1404,44.6,87,0,"(299.9, 300.317]","(1388.391, 1425.957]","(43.8, 45.6]","(77.261, 87.109]"
584,297.6,1419,48.2,215,0,"(297.396, 297.813]","(1388.391, 1425.957]","(47.4, 49.2]","(205.283, 215.13]"
3268,301.3,1525,37.8,199,0,"(301.152, 301.57]","(1501.087, 1538.652]","(36.6, 38.4]","(195.435, 205.283]"
3932,302.6,1953,22.4,180,0,"(302.404, 302.822]","(1951.87, 1989.435]","(22.2, 24.0]","(175.739, 185.587]"
1260,297.6,1528,33.8,22,0,"(297.396, 297.813]","(1501.087, 1538.652]","(33.0, 34.8]","(18.174, 28.022]"
6205,300.9,1696,27.3,76,0,"(300.735, 301.152]","(1688.913, 1726.478]","(25.8, 27.6]","(67.413, 77.261]"
310,298.0,1526,41.8,160,0,"(297.813, 298.23]","(1501.087, 1538.652]","(40.2, 42.0]","(156.043, 165.891]"
7789,300.2,1495,38.5,69,0,"(299.9, 300.317]","(1463.522, 1501.087]","(38.4, 40.2]","(67.413, 77.261]"
6458,300.6,1302,62.9,87,0,"(300.317, 300.735]","(1275.696, 1313.261]","(61.8, 63.6]","(77.261, 87.109]"
6206,300.8,1669,28.4,79,0,"(300.735, 301.152]","(1651.348, 1688.913]","(27.6, 29.4]","(77.261, 87.109]"
5882,301.4,1469,36.9,133,0,"(301.152, 301.57]","(1463.522, 1501.087]","(36.6, 38.4]","(126.5, 136.348]"
4668,303.3,1692,27.9,55,0,"(303.239, 303.657]","(1688.913, 1726.478]","(27.6, 29.4]","(47.717, 57.565]"
4298,301.8,1437,42.3,0,0,"(301.57, 301.987]","(1425.957, 1463.522]","(42.0, 43.8]","(-1.522, 8.326]"
3783,302.2,1397,47.6,11,0,"(301.987, 302.404]","(1388.391, 1425.957]","(47.4, 49.2]","(8.326, 18.174]"
1008,296.2,1441,41.7,3,0,"(296.143, 296.561]","(1425.957, 1463.522]","(40.2, 42.0]","(-1.522, 8.326]"
8354,298.6,1390,50.3,196,0,"(298.23, 298.648]","(1388.391, 1425.957]","(49.2, 51.0]","(195.435, 205.283]"
2185,299.8,1630,32.4,53,0,"(299.483, 299.9]","(1613.783, 1651.348]","(31.2, 33.0]","(47.717, 57.565]"
3623,302.0,1530,36.4,27,0,"(301.987, 302.404]","(1501.087, 1538.652]","(34.8, 36.6]","(18.174, 28.022]"
